Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0.084375001,0.31631305,0.084375001,-0.80784618,0.084375001,-0.074008544,0.084375001,-0.59999981
0.084749065,0.31631314,0.084749065,-0.80784609,0.084749065,-0.073895959,0.084749065,-0.59999981
0.087499999,0.31631382,0.087499999,-0.80784541,0.087499999,-0.073067985,0.087499999,-0.5999998
0.087874062,0.31631391,0.087874062,-0.80784532,0.087874062,-0.07295935,0.087874062,-0.5999998
0.090625003,0.31631458,0.090625003,-0.80784465,0.090625003,-0.072160422,0.090625003,-0.59999979
0.090999067,0.31631467,0.090999067,-0.80784456,0.090999067,-0.072055468,0.090999067,-0.59999979
0.09375,0.31631535,0.09375,-0.80784389,0.09375,-0.071283617,0.09375,-0.59999979
0.094124064,0.31631544,0.094124064,-0.80784379,0.094124064,-0.071182103,0.094124064,-0.59999979
0.096874997,0.31631611,0.096874997,-0.80784312,0.096874997,-0.070435552,0.096874997,-0.59999978
0.097249061,0.3163162,0.097249061,-0.80784303,0.097249061,-0.07033726,0.097249061,-0.59999978
0.1,0.31631687,0.1,-0.80784236,0.1,-0.069614402,0.1,-0.59999977
0.10037407,0.31631697,0.10037407,-0.80784227,0.10037407,-0.069519134,0.10037407,-0.59999977
0.103125,0.31631764,0.103125,-0.80784159,0.103125,-0.068818511,0.103125,-0.59999976
0.10349906,0.31631773,0.10349906,-0.8078415,0.10349906,-0.068726086,0.10349906,-0.59999976
0.10625,0.3163184,0.10625,-0.80784083,0.10625,-0.06804637,0.10625,-0.59999976
0.10662407,0.31631849,0.10662407,-0.80784074,0.10662407,-0.067956623,0.10662407,-0.59999976
0.109375,0.31631917,0.109375,-0.80784006,0.109375,-0.067296602,0.109375,-0.59999975
0.10974906,0.31631926,0.10974906,-0.80783997,0.10974906,-0.067209382,0.10974906,-0.59999975
0.1125,0.31631993,0.1125,-0.8078393,0.1125,-0.066567946,0.1125,-0.59999974
0.11287406,0.31632002,0.11287406,-0.80783921,0.11287406,-0.066483114,0.11287406,-0.59999974
0.115625,0.31632069,0.115625,-0.80783854,0.115625,-0.065859245,0.115625,-0.59999974
0.11599907,0.31632079,0.11599907,-0.80783844,0.11599907,-0.065776675,0.11599907,-0.59999974
0.11875,0.31632146,0.11875,-0.80783777,0.11875,-0.065169435,0.11875,-0.59999973
0.11912406,0.31632155,0.11912406,-0.80783768,0.11912406,-0.065089009,0.11912406,-0.59999973
0.121875,0.31632222,0.121875,-0.80783701,0.121875,-0.064497535,0.121875,-0.59999972
0.12224907,0.31632231,0.12224907,-0.80783692,0.12224907,-0.064419144,0.12224907,-0.59999972
0.125,0.31632299,0.125,-0.80783624,0.125,-0.063842637,0.125,-0.59999971
0.12537406,0.31632308,0.12537406,-0.80783615,0.12537406,-0.06376618,0.12537406,-0.59999971
0.128125,0.31632375,0.128125,-0.80783548,0.128125,-0.063203901,0.128125,-0.59999971
0.12849906,0.31632384,0.12849906,-0.80783539,0.12849906,-0.063129286,0.12849906,-0.59999971
0.13124999,0.31632451,0.13124999,-0.80783472,0.13124999,-0.062580549,0.13124999,-0.5999997
0.13162406,0.31632461,0.13162406,-0.80783462,0.13162406,-0.062507688,0.13162406,-0.5999997
0.13437501,0.31632528,0.13437501,-0.80783395,0.13437501,-0.061971856,0.13437501,-0.59999969
0.13474907,0.31632537,0.13474907,-0.80783386,0.13474907,-0.06190067,0.13474907,-0.59999969
